Shop name,Review,Stars,Date,Country
TheMississippiGiftCompany.com,I have been a long-time customer of Plug In SEO and have recently worked with Mike and his team to better configure and optimize the app. We are looking forward to continuing to work to improve our SEO placements. Mike was excellent at providing us with guidance and support. We anticipate further functionality with new releases and updates of the app coming out in the near future. Thanks to Mike and Plug In SEO for teaming up with our business to help us succeed.,5,13-Mar-24,United States
WASP Fitness,**Easy Learning Curve for SEO Newbies**,5,20-Mar-24,United States
Jeff's Female Fashion's,Mike is the best he has put up with so much from me he blocked me lol JOKING Great man .. and Libby as well... Thanks for everything..,5,24-Apr-24,United States
Caraline Skincare,This app created more problems than it solved.  Generated excessive number of pages -- I have no idea what they are -- and conflicted with other apps.  I've uninstalled it after 6 weeks.,2,22-Apr-24,United States
Antipodean Home,excellent SEO app for any Shopify store that is just starting out. The app automates all the long-hanging SEO fruit very efficiently. The best thing about the app is that it works!,5,6-Jul-24,United States
MissTiffany-DIY,"I mistakenly order your service, please give me a refund.",5,21-Apr-24,China
Sleepy Monkey Creations,Great plugin and the customer service response time is excellent. They did a fantastic job answering my questions.,5,17-Jun-24,United States
Bliss Lau,"I found Plug In SEO after struggling to find an SEO expert to help us improve/solve some of our technical SEO issues. Mike and his team did a great job helping us set up everything within the app, fixing our main errors, and even walking me through how to improve our SEO going forward. I highly recommend this app for Shopify stores that want to follow SEO best practices but may not have a team to dedicate to SEO.",5,4-Mar-24,United States
ALLYOURBLADES.COM.AU,Great and reliable Plugin. Customer support is fast and friendly.,5,24-Apr-24,Australia
MyProfilePimp,Libby gave amazing service as i had some issues.,5,15-Apr-24,Finland
ARCHIVIST,Fantastic customer service and great app! I reached out to them regarding a question for our store and we got immediate and extensive feedback and they even offered us to do an SEO check.,5,27-Jul-23,Germany
Fotografie Experience Shop,"Good and fast support and good extra ranking in Google Search Console. If you have issues, support will help you out with mail or chat",5,30-Aug-23,Netherlands
Cloud Connectz,Would definitely recommend this to everyone. Best app and staff ever. Very helpful staff,5,15-Nov-23,Australia
Helena Celia,no instant customer service and they take a whole day to reply,1,8-Dec-23,United States
www.hanssonshop.de,"Superfast, 100% satisfiying response!",5,17-Jan-24,Germany
Xtreme Digital GraphiX,I been using the free version of this app for years and i love it. It really helped me at the beginning. I very much recommend it for new store owners.,5,17-Sep-19,Canada
Samsteasandspices,"Easy app to install and best of all it's free.  We have been using this app for about 2 years, and been very happy with it.  A must have for every shopify store.",5,22-May-16,Canada
Info Teeshirtuniversity Com,We have used Plug in seo for our website at https://teeshirtuniversity.com/ and they have been great. The continually send us e-mail reminders on how to better improve our site. So far its been great,5,18-Oct-16,United States
First Choice Cricket,"app seems to work great, thanks for making it free",5,31-Dec-13,United States
With A Past,"Easy setup, simple to use. Very useful.",5,7-Sep-17,Canada
